gene_id	asc_0	asc_1	asc_2	asc_3	asc_4	asc_5	asc_6	idc_0	idc_1	idc_2	idc_3	idc_4	idc_5	idc_6	healthy_0	healthy_1	healthy_2	healthy_3	healthy_4	healthy_5	healthy_6
ENSG00000000003	456	95	73	247	198	304	6	3414	8917	4400	2047	879	783	2071	4622	5276	3112	8356	2437	4147	2909
ENSG00000000005	92	37	32	116	100	6	0	210	0	7	13	9	16	102	1837	324	654	2827	263	581	398
ENSG00000000419	1747	602	467	1429	534	1749	0	2108	2908	2288	2155	2623	2205	1784	1269	1820	1536	2001	1366	1965	1622
ENSG00000000457	727	499	256	1154	220	302	0	2100	4764	1590	1855	1727	371	2336	871	1789	1177	1169	802	1550	1394
ENSG00000000460	1045	992	189	1874	477	589	0	560	2010	847	749	421	374	1735	303	470	344	199	268	563	481
ENSG00000000938	359	120	127	273	234	91	0	562	247	190	156	218	227	448	1695	2510	3031	2469	3000	3357	1022
ENSG00000000971	12541	3417	1941	19009	8158	1795	38	3741	1208	4712	2433	3828	839	3565	3321	5127	10850	7501	6228	4648	5297
ENSG00000001036	499	223	257	594	232	725	151	2054	2072	2656	2566	4182	5980	2318	2193	1999	3664	2536	2323	1987	2457
ENSG00000001084	1457	647	459	2130	577	1534	77	2601	1804	4305	1823	2155	970	1680	1464	2902	2282	5127	2460	2841	2121
ENSG00000001167	1113	503	340	1007	679	594	0	3261	5088	3783	5819	3156	969	3288	2384	2894	1465	1557	769	2876	2243
ENSG00000001460	181	91	21	210	69	78	0	563	756	784	802	553	384	802	583	407	538	563	425	590	535
ENSG00000001461	259	99	144	501	161	223	0	2110	2437	2662	6440	2305	989	2036	880	1359	1397	890	916	1595	1210
ENSG00000001497	1397	504	897	1348	514	1427	0	3382	4454	2644	6075	3700	4297	4183	2785	3969	3531	4148	1923	4229	3869
ENSG00000001561	162	60	23	194	100	71	0	2447	1444	2886	6007	1797	567	2139	1472	1751	1474	3794	1138	1454	1143
ENSG00000001617	1134	371	886	1697	1617	212	0	6532	7017	8921	27012	5798	12637	8546	8329	6431	5116	5854	2325	7438	5204
ENSG00000001626	12	0	0	101	0	10	0	11	13	44	7	32	0	9	9	38	15	17	9	18	17
ENSG00000001629	5462	2969	1425	5287	2495	4843	131	6135	7628	5978	7757	5221	1007	4641	2495	3351	3013	3990	2166	3207	3370
ENSG00000001630	6	3	22	1	16	24	0	255	224	78	80	109	21	209	55	71	84	70	54	66	124
